"ModelName",Max,Min
"MacPro7,1",26,10
"MacPro6,1",12,10
"MacPro5,1",10,10
"Macmini9,1",26,11
"Macmini8,1",15,10
"Macmini7,1",12,10
"Macmini6,2",10,10
"MacBookPro9,2",10,10
"MacBookPro9,1",10,10
"MacBookPro18,4",26,12
"MacBookPro18,3",26,12
"MacBookPro18,2",26,12
"MacBookPro18,1",26,12
"MacBookPro17,1",26,11
"MacBookPro16,4",26,11
"MacBookPro16,3",15,10
"MacBookPro16,2",26,10
"MacBookPro16,1",26,11
"MacBookPro15,4",15,10
"MacBookPro15,3",15,10
"MacBookPro15,2",15,10
"MacBookPro15,1",15,10
"MacBookPro14,3",13,10
"MacBookPro14,2",13,10
"MacBookPro14,1",13,10
"MacBookPro13,3",12,10
"MacBookPro13,2",12,10
"MacBookPro13,1",12,10
"MacBookPro12,1",12,10
"MacBookPro11,5",12,10
"MacBookPro11,4",12,10
"MacBookPro11,3",11,10
"MacBookPro11,2",11,10
"MacBookPro11,1",11,10
"MacBookPro10,2",10,10
"MacBookPro10,1",10,10
"Mac17,2",26,26
"Mac16,9",26,15
"Mac16,8",26,15
"Mac16,7",26,15
"Mac16,6",26,15
"Mac16,5",26,15
"Mac16,3",26,14
"Mac16,2",26,15
"Mac16,11",26,15
"Mac16,10",26,15
"Mac16,1",26,15
"Mac15,9",26,14
"Mac15,8",26,14
"Mac15,7",26,14
"Mac15,6",26,14
"Mac15,3",26,14
"Mac15,14",26,15
"Mac15,11",26,14
"Mac15,10",26,14
"Mac14,9",26,13
"Mac14,8",26,13
"Mac14,7",26,12
"Mac14,6",26,13
"Mac14,5",26,13
"Mac14,3",26,13
"Mac14,14",26,13
"Mac14,13",26,13
"Mac14,12",26,13
"Mac14,10",26,13
"Mac13,2",26,12
"Mac13,1",26,12
"iMacPro1,1",15,10
"iMac21,2",26,11
"iMac21,1",26,11
"iMac20,2",26,10
"iMac19,2",15,10
"iMac19,1",15,10
"iMac18,3",13,10
"iMac18,2",13,10
"iMac18,1",13,10
"iMac17,1",12,10
"iMac16,2",12,10
"iMac16,1",12,10
"iMac15,1",11,10
"iMac14,4",11,10
"iMac14,3",10,10
"iMac14,2",10,10
"iMac14,1",10,10
"iMac13,2",10,10
"iMac13,1",10,10
